"","species","gbifID","class","order","family","genus","decimalLatitude","decimalLongitude","depth","eventDate","day","month","year","SpiculeTypes"
"532399","Cliona californiana","1418662710","Demospongiae","Clionaida","Clionaidae","Cliona","31.739722","-116.682222",3,"2010-06-17T00:00:00",17,6,2010,2
"532402","Cliona californiana","1418663342","Demospongiae","Clionaida","Clionaidae","Cliona","21.842222","-105.882778",6.5,"2003-12-11T00:00:00",11,12,2003,2
"532404","Cliona californiana","1418661399","Demospongiae","Clionaida","Clionaidae","Cliona","27.909722","-110.971389",7.5,"2000-11-03T00:00:00",3,11,2000,2
"532412","Cliona californiana","1418663554","Demospongiae","Clionaida","Clionaidae","Cliona","26.762333","-111.891478",2,"2012-09-15T00:00:00",15,9,2012,2
"532418","Cliona californiana","1418661932","Demospongiae","Clionaida","Clionaidae","Cliona","24.405556","-107.888333",15.5,"2002-11-25T00:00:00",25,11,2002,2
"532423","Cliona californiana","1418663643","Demospongiae","Clionaida","Clionaidae","Cliona","21.165833","-105.227222",2,"2000-02-20T00:00:00",20,2,2000,2
"532432","Cliona californiana","1418662559","Demospongiae","Clionaida","Clionaidae","Cliona","25.529722","-109.090833",1,"2002-11-13T00:00:00",13,11,2002,2
"532444","Cliona californiana","1418662900","Demospongiae","Clionaida","Clionaidae","Cliona","24.466389","-108.060278",21,"2002-11-20T00:00:00",20,11,2002,2
"542275","Conorete pourtalesi","4055757550","Hexactinellida","Sceptrulophora","Euretidae","Conorete","24.7047","-80.511333",198,"2010-08-07T00:00:00",7,8,2010,5
"542276","Conorete pourtalesi","4055763872","Hexactinellida","Sceptrulophora","Euretidae","Conorete","24.704677","-80.511352",198,"2010-08-07T00:00:00",7,8,2010,5
"542277","Conorete pourtalesi","2235911285","Hexactinellida","Sceptrulophora","Euretidae","Conorete","24.7047","-80.5114",649,"2010-07-07T00:00:00",7,7,2010,5
"542861","Corticium vaceleti","4055768453","Homoscleromorpha","Homosclerophorida","Plakinidae","Corticium","-21.688333","165.463517",22.5,"2013-02-07T00:00:00",7,2,2013,1
"542863","Corticium vaceleti","4055770651","Homoscleromorpha","Homosclerophorida","Plakinidae","Corticium","-21.688383","165.463517",22.5,"2013-02-07T00:00:00",7,2,2013,1
"549417","Cymbastela cantharella","3855724500","Demospongiae","Axinellida","Axinellidae","Cymbastela","-17.706","168.263333",10,"2000-11-17T00:00:00",17,11,2000,1
"552844","Dictyoplax lecus","4055757499","Hexactinellida","Sceptrulophora","Auloplacidae","Dictyoplax","24.0597","-74.5542",762,"2002-11-16T00:00:00",16,11,2002,4
"552847","Dictyoplax lecus","4055763875","Hexactinellida","Sceptrulophora","Auloplacidae","Dictyoplax","24.059738","-74.554223",762,"2002-11-16T00:00:00",16,11,2002,4
"565150","Farrea bowerbanki","4055767951","Hexactinellida","Sceptrulophora","Farreidae","Farrea","41.66148","8.7953",383,"2014-07-31T00:00:00",31,7,2014,3
"565151","Farrea bowerbanki","4055749185","Hexactinellida","Sceptrulophora","Farreidae","Farrea","41.66148","8.7953",383,"2014-07-31T00:00:00",31,7,2014,3
"613149","Holascus pseudostellatus","4055760813","Hexactinellida","Lyssacinosida","Euplectellidae","Holascus","-65.332667","-48.142833",4059.5,"2002-03-08T00:00:00",8,3,2002,5
"613151","Holascus pseudostellatus","4055739058","Hexactinellida","Lyssacinosida","Euplectellidae","Holascus","-65.332667","-48.142833",4059.5,"2002-03-08T00:00:00",8,3,2002,5
"613484","Homaxinella amphispicula","2557132527","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.86022","172.44911",149,"2002-06-19T00:00:00",19,6,2002,2
"613485","Homaxinella amphispicula","2557133552","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.81964","173.7278",116,"2002-06-22T00:00:00",22,6,2002,2
"613486","Homaxinella amphispicula","2557142591","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.92779","178.2435",239,"2000-06-28T00:00:00",28,6,2000,2
"613487","Homaxinella amphispicula","2557130695","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.96836","-170.3925",221,"2000-05-26T00:00:00",26,5,2000,2
"613488","Homaxinella amphispicula","2557128763","Demospongiae","Suberitida","Suberitidae","Homaxinella","53.77915","-167.26338",163,"2012-06-10T00:00:00",10,6,2012,2
"613489","Homaxinella amphispicula","2557142596","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.11467","176.28745",128,"2004-07-12T00:00:00",12,7,2004,2
"613490","Homaxinella amphispicula","2557139900","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.577","-177.7889",240,"1997-07-12T00:00:00",12,7,1997,2
"613491","Homaxinella amphispicula","2557128422","Demospongiae","Suberitida","Suberitidae","Homaxinella","53.76235","-167.0668",65,"2002-05-17T00:00:00",17,5,2002,2
"613492","Homaxinella amphispicula","2557141617","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.08136","176.3405",150,"2004-07-12T00:00:00",12,7,2004,2
"613494","Homaxinella amphispicula","2557145349","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.31086","175.92239",117,"2010-07-28T00:00:00",28,7,2010,2
"613495","Homaxinella amphispicula","2557137949","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.35083","-174.54944",116,"2000-06-15T00:00:00",15,6,2000,2
"613496","Homaxinella amphispicula","2557149586","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.47871","173.18595",118,"2010-08-07T00:00:00",7,8,2010,2
"613497","Homaxinella amphispicula","2557129892","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.93521","-170.4079",229,"2006-06-14T00:00:00",14,6,2006,2
"613498","Homaxinella amphispicula","2557133269","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.41371","-173.8227",130,"2000-06-02T00:00:00",2,6,2000,2
"613499","Homaxinella amphispicula","2557140361","Demospongiae","Suberitida","Suberitidae","Homaxinella","56.33614","-168.87215",128,"2008-07-11T00:00:00",11,7,2008,2
"613500","Homaxinella amphispicula","2557136071","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.14012","-175.28823",215,"2012-06-27T00:00:00",27,6,2012,2
"613501","Homaxinella amphispicula","2557132554","Demospongiae","Suberitida","Suberitidae","Homaxinella","53.08713","172.71275",116,"2002-06-20T00:00:00",20,6,2002,2
